Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,125.459999,126.940002,124.480003,126.440002,126.440002,150981900
2015-07-06,124.940002,126.230003,119.220001,123.279999,123.279999,274944900
2015-07-13,125.029999,129.619995,124.320000,129.619995,129.619995,189244900
2015-07-20,130.970001,132.970001,121.989998,124.500000,124.500000,344269000
2015-07-27,123.089996,123.910004,120.910004,121.300003,121.300003,191598600
2015-08-03,121.500000,122.570000,112.099998,115.519997,115.519997,385000600
2015-08-10,116.529999,119.989998,109.629997,115.959999,115.959999,344717200
2015-08-17,116.040001,117.650002,105.650002,105.760002,105.760002,319668200
2015-08-24,94.870003,113.309998,92.000000,113.290001,113.290001,500363000
2015-08-31,112.029999,114.529999,107.360001,109.269997,109.269997,298194200
2015-09-07,111.750000,114.209999,109.769997,114.209999,114.209999,252662700
2015-09-14,116.580002,116.889999,111.870003,113.449997,113.449997,277276000
2015-09-21,113.669998,116.690002,112.370003,114.709999,114.709999,242696300
2015-09-28,113.849998,114.570000,107.309998,110.379997,110.379997,313896300
2015-10-05,109.879997,112.279999,108.209999,112.120003,112.120003,261772800
2015-10-12,112.730003,112.750000,109.559998,111.040001,111.040001,184885000
2015-10-19,110.800003,119.230003,110.110001,119.080002,119.080002,221354200
2015-10-26,118.080002,121.220001,113.989998,119.500000,119.500000,322362200
2015-11-02,120.800003,123.820000,119.610001,121.059998,121.059998,195203400
2015-11-09,120.959999,121.809998,112.269997,112.339996,112.339996,216555300
2015-11-16,111.379997,119.919998,111.000000,119.300003,119.300003,189981200
2015-11-23,119.269997,119.730003,117.120003,117.809998,117.809998,109720400
2015-11-30,117.989998,119.410004,114.220001,119.029999,119.029999,206765800
2015-12-07,118.980003,119.860001,112.849998,113.180000,113.180000,188745500
2015-12-14,112.180000,112.800003,105.809998,106.029999,106.029999,315106400
2015-12-21,107.279999,109.000000,105.570000,108.029999,108.029999,126607800
2015-12-28,107.589996,109.430000,104.820000,105.260002,105.260002,123484500
2016-01-04,102.610001,105.849998,96.430000,96.959999,96.959999,343790200
2016-01-11,98.970001,101.190002,95.360001,97.129997,97.129997,303513300
2016-01-18,98.410004,101.459999,93.419998,101.419998,101.419998,243384100
2016-01-25,101.519997,101.529999,92.389999,97.339996,97.339996,380336500
2016-02-01,96.470001,97.330002,93.690002,94.019997,94.019997,217154800
2016-02-08,93.129997,96.349998,92.589996,93.989998,93.989998,231122300
2016-02-15,95.019997,98.889999,94.610001,96.040001,96.040001,168316300
2016-02-22,96.309998,98.019997,93.320000,96.910004,96.910004,159052900
2016-02-29,96.860001,103.750000,96.650002,103.010002,103.010002,201803800
2016-03-07,102.389999,102.830002,100.150002,102.260002,102.260002,155514300
2016-03-14,101.910004,106.500000,101.779999,105.919998,105.919998,182073200
2016-03-21,105.930000,107.650002,104.889999,105.669998,105.669998,119783600
2016-03-28,106.000000,110.419998,104.879997,109.989998,109.989998,147965000
2016-04-04,110.419998,112.190002,108.120003,108.660004,108.660004,145722600
2016-04-11,108.970001,112.389999,108.660004,109.849998,109.849998,162310000
2016-04-18,108.889999,108.949997,104.620003,105.680000,105.680000,189065500
2016-04-25,105.000000,105.650002,92.510002,93.739998,93.739998,349424100
2016-05-02,93.970001,95.900002,91.849998,92.720001,92.720001,225365600
2016-05-09,93.000000,93.769997,89.470001,90.519997,90.519997,216049800
2016-05-16,92.389999,95.430000,91.650002,95.220001,95.220001,212707200
2016-05-23,95.870003,100.730003,95.669998,100.349998,100.349998,203888300
2016-05-30,99.599998,100.400002,96.629997,97.919998,97.919998,139735000
2016-06-06,97.989998,101.889999,97.550003,98.830002,98.830002,124864400
2016-06-13,98.690002,99.120003,95.300003,95.330002,95.330002,191732600
2016-06-20,96.000000,96.889999,92.650002,93.400002,93.400002,206729000
2016-06-27,93.000000,96.470001,91.500000,95.889999,95.889999,184328400
2016-07-04,95.389999,96.889999,94.370003,96.680000,96.680000,112706000
2016-07-11,96.750000,99.300003,96.730003,98.779999,98.779999,142910600
2016-07-18,98.699997,101.000000,98.309998,98.660004,98.660004,147565500
2016-07-25,98.250000,104.550003,96.419998,104.209999,104.209999,256571000
2016-08-01,104.410004,107.650002,104.000000,107.480003,107.480003,170149200
2016-08-08,107.519997,108.940002,107.160004,108.180000,108.180000,124505800
2016-08-15,108.139999,110.230003,108.080002,109.360001,109.360001,132371400
2016-08-22,108.860001,109.320000,106.309998,106.940002,106.940002,123605500
2016-08-29,106.620003,108.000000,105.500000,107.730003,107.730003,133000600
2016-09-05,107.900002,108.760002,103.129997,103.129997,103.129997,168803700
2016-09-12,102.650002,116.129997,102.529999,114.919998,114.919998,388228200
2016-09-19,115.190002,116.180000,111.550003,112.709999,112.709999,201095700
2016-09-26,111.639999,114.639999,111.550003,113.050003,113.050003,156384000
2016-10-03,112.709999,114.559998,112.279999,114.059998,114.059998,126029400
2016-10-10,115.019997,118.690002,114.720001,117.629997,117.629997,208708400
2016-10-17,117.330002,118.209999,113.800003,116.599998,116.599998,115531500
2016-10-24,117.099998,118.360001,113.309998,113.720001,113.720001,210225600
2016-10-31,113.650002,114.230003,108.110001,108.839996,108.839996,156346500
2016-11-07,110.080002,111.720001,105.830002,108.430000,108.430000,207019500
2016-11-14,107.709999,110.540001,104.080002,110.059998,110.059998,198341400
2016-11-21,110.120003,112.419998,110.010002,111.790001,111.790001,94132400
2016-11-28,111.430000,112.470001,108.849998,109.900002,109.900002,155500000
2016-12-05,110.000000,114.699997,108.250000,113.949997,113.949997,151989600
2016-12-12,113.290001,116.730003,112.489998,115.970001,115.970001,195015600
2016-12-19,115.800003,117.500000,115.589996,116.519997,116.519997,113254700
2016-12-26,116.519997,118.019997,115.430000,115.820000,115.820000,84828600
2017-01-02,115.800003,118.160004,114.760002,117.910004,117.910004,103845500
2017-01-09,117.949997,119.930000,117.940002,119.040001,119.040001,138810700
2017-01-16,118.339996,120.500000,118.220001,120.000000,120.000000,116348000
2017-01-23,120.000000,122.440002,119.500000,121.949997,121.949997,124539300
2017-01-30,120.930000,130.490005,120.620003,129.080002,129.080002,249781200
2017-02-06,129.130005,132.940002,128.899994,132.119995,132.119995,136449200
2017-02-13,133.080002,136.270004,132.750000,135.720001,135.720001,136667500
2017-02-20,136.229996,137.479996,135.279999,136.660004,136.660004,87908900
2017-02-27,137.139999,140.279999,136.279999,139.779999,139.779999,127474000
2017-03-06,139.369995,139.979996,137.050003,139.139999,139.139999,99672200
2017-03-13,138.850006,141.020004,138.820007,139.990005,139.990005,121539600
2017-03-20,140.399994,142.800003,139.729996,140.639999,140.639999,129674000
2017-03-27,139.389999,144.500000,138.619995,143.660004,143.660004,127008900
2017-04-03,143.710007,145.460007,143.050003,143.339996,143.339996,105416200
2017-04-10,143.600006,143.880005,140.059998,141.050003,141.050003,87485700
2017-04-17,141.479996,142.919998,140.449997,142.270004,142.270004,89248500
2017-04-24,143.500000,144.899994,143.179993,143.649994,143.649994,91153700
2017-05-01,145.100006,148.979996,144.270004,148.960007,148.960007,175351700
2017-05-08,149.029999,156.419998,149.029999,156.100006,156.100006,173470600
2017-05-15,156.009995,156.649994,149.710007,153.059998,153.059998,157354900
2017-05-22,154.000000,154.899994,152.669998,153.610001,153.610001,103226500
2017-05-29,153.419998,154.429993,152.220001,153.179993,153.179993,60852300
2017-06-01,0.000000,0.000000,0.000000,153.179993,153.179993,9923
